,description,tables
13,"Таблица chisel_program содержит информацию о программе бурения. Таблица имеет поля: id, well_id, attachment_amount_and_size, attachment_square, axial_load, chisel_size, chisel_type, construction, drilling_time, drive_type, hsi, iadc_code, interval_from, interval_to, mechanical_speed, notes, number, pump_performance, revs, sinking, type_of_threaded_connection, version, casing_column, nnd_max, nnd_min, wellbore.","chisel_program: ['id', 'well_id', 'attachment_amount_and_size', 'attachment_square', 'axial_load', 'chisel_size', 'chisel_type', 'construction', 'drilling_time', 'drive_type', 'hsi', 'iadc_code', 'interval_from', 'interval_to', 'mechanical_speed', 'notes', 'number', 'pump_performance', 'revs', 'sinking', 'type_of_threaded_connection', 'version', 'casing_column', 'nnd_max', 'nnd_min', 'wellbore']"
14,"Таблица chisel_working_off содержит информацию о работе навесного инструмента. Таблица имеет поля: id, well_id, attachment_amount_and_size, chisel_number, chisel_size, chisel_type, construction, drilling_time, run, iadc_code, interval_from, interval_to, litology, load, mechnical_speed, moment, notes, p, q, revs, rise_reason, rotating_time, sinking, version, wear_code, y, casing_column, attachment_square, hsi, nnd_max, nnd_min, p_max, p_min, run_plan, run_project, rotating_speed, wellbore, manufacturer, bit_type, repair_date, sinking_before_descent, rotating_time_before_descent, drilling_time_before_descent, wear_code_before_descent, total_sinking, total_circulation_time, total_drilling_time, purpose.","chisel_working_off: ['id', 'well_id', 'attachment_amount_and_size', 'chisel_number', 'chisel_size', 'chisel_type', 'construction', 'drilling_time', 'run', 'iadc_code', 'interval_from', 'interval_to', 'litology', 'load', 'mechanical_speed', 'moment', 'notes', 'p', 'q', 'revs', 'rise_reason', 'rotating_time', 'sinking', 'version', 'wear_code', 'y', 'casing_column', 'attachment_square', 'hsi', 'nnd_max', 'nnd_min', 'p_max', 'p_min', 'run_plan', 'run_project', 'rotating_speed', 'wellbore', 'manufacturer', 'bit_type', 'repair_date', 'sinking_before_descent', 'rotating_time_before_descent', 'drilling_time_before_descent', 'wear_code_before_descent', 'total_sinking', 'total_circulation_time', 'total_drilling_time', 'purpose']"
15,"Таблица chemical_reagents_consumption содержит информацию о расходах химических реагентов на бурение скважин. Таблица имеет поля: id, well_id - уникальный идентификатор скважины, expense_per_day - ежедневные расходы на химические реагенты, expense_from_building_start - расходы на химические реагенты с момента начала строительства, date - дата, name - наименование химического реагента, balance - баланс, income_per_day - ежедневный заработок, version - версия, casing_column - столбец оболочки, expense_per_section - расходы на химические реагенты за каждый сection, arrival - прибытие, type - тип химиков, wellbore - внутренняя часть скважины, unit - единица измерения, is_npv_consumption - флаг NPV расхода.","chemical_reagents_consumption: ['id', 'well_id', 'expense_per_day', 'expense_from_building_start', 'date', 'name', 'balance', 'income_per_day', 'version', 'casing_column', 'expense_per_section', 'arrival', 'type', 'wellbore', 'unit', 'is_npv_consumption']"
16,"Таблица chemical_reagents_needs содержит сведения о потреблении химических реагентов. Таблица имеет поля:  id - главный номер заявки на реагенты,  well_id - идентификатор скважины,  casing_column - номер колонны с ямой,  consumption_per_interval - потребление реагента на каждый интервал,  liquor_type - тип жидкости,  reagent_name - название реагента,  reserve - резервный запас реагента,  total - общий запас реагента,  total_with_package - общий запас реагента вместе с упаковкой,  version - версия реагента,  type - тип реагента.","chemical_reagents_needs: ['id', 'well_id', 'casing_column', 'consumption_per_interval', 'liquor_type', 'reagent_name', 'reserve', 'total', 'total_with_package', 'version', 'type', 'unit']"
17,"Таблица column_brasings содержит информацию о.setColumn parameters бурения. Таблица имеет поля: id - идентификатор, version - версия, well_id - идентификатор скважины, casing_column - параметр кассетирования, step - этап, first_casing_pipe_type - тип первой кассетной трубы, first_casing_pipe_decommissioning_length - длина снятия первой кассетной трубы, first_casing_pipe_count - количество первой кассетной трубы, second_casing_pipe_type - тип второй кассетной трубы, second_casing_pipe_decommissioning_length - длина снятия второй кассетной трубы, second_casing_pipe_count - количество второй кассетной трубы, plan_shoe_installation_depth_wellbore_from - планируемая установка венца глубинным способом снизу, plan_shoe_installation_depth_wellbore_to - планируемая установка венца глубинным способом снизу, actual_shoe_installation_depth_wellbore_from - фактическая установка венца глубинным способом снизу, actual_shoe_installation_depth_wellbore_to - фактическая установка венца глубинным способом сверху, shoe_installation_depth_vertical - глубина установки венца вертикально, tskoda_installation_depth_wellbore_from - установка тскоды глубинным способом снизу, tskoda_installation_depth_wellbore_to - установка тскоды глубинным способом снизу, msc_installation_depth_wellbore_from - установка MSc глубинным способом снизу, msc_installation_depth_wellbore_to - установка MSc глубинным способом снизу, cementing_start_time - время начало заточки, cementing_end_time - время окончание заточки, cementing_duration - продолжительность заточки, buffer_volume - объём буфера, buffer_density - плотность буфера, lightweight_cement_grade - лучший лёгкий цементный шифер, lightweight_cement_volume - объём лёгкого цемента, lightweight_cement_density - плотность лёгкого цемента, heavy_cement_grade - лучший тяжёлый цементный шифер, heavy_cement_volume - объём тяжёлого цемента, heavy_cement_density - плотность тяжёлого цемента, displacement_fluid_volume - объём тело смывного раствора, displacement_fluid_density - плотность тела смывного раствора, stop_pressure - давление, is_tskod_pressure_good - качество давления тскоды, is_cementing_by_plan - качество заточки по плану, notes - заметки, output_liquid - выведенная жидкость, output_density - плотность выводимой жидкости, output_volume - объём выводимой жидкости, ugrh_descent_depth_wellbore_from - уменьшение глубины UGRR снизу, ugrh_descent_depth_wellbore_to - уменьшение глубины UGRR снизу.","column_brasings: ['id', 'version', 'well_id', 'casing_column', 'step', 'first_casing_pipe_type', 'first_casing_pipe_decommissioning_length', 'first_casing_pipe_count', 'second_casing_pipe_type', 'second_casing_pipe_decommissioning_length', 'second_casing_pipe_count', 'plan_shoe_installation_depth_wellbore_from', 'plan_shoe_installation_depth_wellbore_to', 'actual_shoe_installation_depth_wellbore_from', 'actual_shoe_installation_depth_wellbore_to', 'shoe_installation_depth_vertical', 'tskoda_installation_depth_wellbore_from', 'tskoda_installation_depth_wellbore_to', 'msc_installation_depth_wellbore_from', 'msc_installation_depth_wellbore_to', 'cementing_start_time', 'cementing_end_time', 'cementing_duration', 'buffer_volume', 'buffer_density', 'lightweight_cement_grade', 'lightweight_cement_volume', 'lightweight_cement_density', 'heavy_cement_grade', 'heavy_cement_volume', 'heavy_cement_density', 'displacement_fluid_volume', 'displacement_fluid_density', 'stop_pressure', 'is_tskod_pressure_good', 'is_cementing_by_plan', 'notes', 'output_liquid', 'output_density', 'output_volume', 'ugrh_descent_depth_wellbore_from', 'ugrh_descent_depth_wellbore_to']"
18,"Таблица day_information содержит информацию о дневной информации за конкретную дату. Таблица имеет поля:  Поле id - идентификатор записи, поле version - номер версии информации, поле well_id - идентификатор скважины, поле date - дата наблюдений, поле temperature_min - минимальная температура в скважине, поле temperature_max - максимальная температура в скважине, поле next_day_plan - план действий на следующий день, поле comment -additional комментарии.","day_information: ['id', 'version', 'well_id', 'date', 'temperature_min', 'temperature_max', 'next_day_plan', 'comment']"
19,"Таблица drilling_liquor_movements содержит информацию о перемещении жидкостей в скважине. Таблица имеет поля: id, well_id - идентификатор скважины, version - версия события, date - дата события, stage - этап бурения, casing_column - колонна люлей, wellbore - уклон скважины, liquor_type - тип жидкости, volume_start - начальное количество жидкости, prepared_volume - подготовленное количество жидкости, shipped_volume - количество жидкости, отправленное, delivered_volume - количество жидкости, доставленное, surface_losses - потери на поверхности, absorbed -.absorbана, flow - поток жидкости, filtration - фильтрация жидкости, well_losses - потери скважины, well_spilled - разлив скважины, technical_losses - технологические потери, total_volume - общее количество жидкости, volume_end_in_containers - окончательное количество жидкости в контейнерах, well_volume - количество жидкости в скважине, additional_volume_on_pad_place - дополнительно количество жидкости на расположении.","drilling_liquor_movements: ['id', 'well_id', 'version', 'date', 'stage', 'casing_column', 'wellbore', 'liquor_type', 'volume_start', 'prepared_volume', 'shipped_volume', 'delivered_volume', 'surface_losses', 'absorbed', 'flow', 'filtration', 'well_losses', 'well_spilled', 'technical_losses', 'total_volume', 'volume_end_in_containers', 'well_volume', 'additional_volume_on_pad_place']"
20,"Таблица drilling_parameter содержит информацию о параметрах бурения скважин. Таблица имеет поля: id - идентификатор записи, well_id - идентификатор скважины, consumption_max - максимальное потребление, date - дата, end_depth - окончательная глубина, nnd_max - максимальное число оберток на минуту, nnd_min - минимальное число оберток на минуту, pressure_max - максимальное давление, pressure_min - минимальное давление, rop_average - среднее значение скорости подъема, rpm_max - максимальная скорость вращения, start_depth - начальная глубина, torque_max - максимальный момент, torque_min - минимальный момент, run - информация о пробеге, version - версия, casing_column - информация об штуцере, work_type - тип работ, weight_during_descent_average - среднее значение веса во время спуска, weight_during_rotating_average - среднее значение веса при вращении, weight_when_lifting_average - среднее значение веса приподъеме, consumption_min - минимальное потребление, rpm_min - минимальная скорость вращения.","drilling_parameter: ['id', 'well_id', 'consumption_max', 'date', 'end_depth', 'nnd_max', 'nnd_min', 'pressure_max', 'pressure_min', 'rop_average', 'rpm_max', 'start_depth', 'torque_max', 'torque_min', 'run', 'version', 'casing_column', 'work_type', 'weight_during_descent_average', 'weight_during_rotating_average', 'weight_when_lifting_average', 'consumption_min', 'rpm_min']"
21,"Таблица drilling_plans содержит информацию о планах бурения. Таблица имеет поля: id, title.","drilling_plans: ['id', 'title']"
22,"Таблица drilling_rig_equipment содержит информацию о оборудовании буровых установок. Таблица имеет поля: id, версия оборудования, drilling_rig_id - идентификатор буровой установки, type - тип оборудования, model - модель оборудования, title - наименование оборудования, manufacturer - производитель, creation_year - год создания, planned_repair - период планового технического обслуживания, factory_number - номер оборудования на производстве, permitted_service_life - разрешенный срок эксплуатации оборудования.","drilling_rig_equipment: ['id', 'version', 'drilling_rig_id', 'type', 'model', 'title', 'manufacturer', 'creation_year', 'planned_repair', 'factory_number', 'permitted_service_life']"
23,"Таблица contract содержит информацию о контрактах с заказчиками. Таблица имеет поля: id - идентификатор контракта, name - наименование контракта.","contract: ['id', 'name']"
24,"Таблица common_report_information_general_contractor_representative содержит информацию о представителях генерального подрядчика. Таблица имеет поля: common_report_information_id, contractor_id - идентификатор общей информации в отчете, id представителя генерального подрядчика.","common_report_information_general_contractor_representative: ['common_report_information_id', 'contractor_id']"
25,"Таблица common_report_information_gis_contractor содержит информацию о контракторах, связанных с общим отчетом. Таблица имеет поля: Поле - common_report_information_id, contractors_id.","common_report_information_gis_contractor: ['common_report_information_id', 'contractor_id']"
26,"Таблица crew содержит информацию о штатах. Таблица имеет поля: id, well_id - ID скважины, duration - продолжительность работы, end_date - дата окончания работы, full_name - полное имя работника, job_title - должность работника, notes - заметки о работнике, organization - организация, начиная с start_date - дата начала работы, version - версия записи.","crew: ['id', 'well_id', 'duration', 'end_date', 'full_name', 'job_title', 'notes', 'organization', 'start_date', 'version']"
27,"Таблица drilling_plan_revisions содержит информацию о ревизиях планов бурения. Таблица имеет поля: id - идентификатор ревизии, title - название ревизии, drilling_plan_id - идентификатор соответствующего плана бурения.","drilling_plan_revisions: ['id', 'title', 'drilling_plan_id']"
28,"Таблица drilling_rig содержит информацию о бурочных установках. Таблица имеет поля: id - идентификатор бурочной установки, well_id - идентификатор скважины, centrifuge_model - модель центрифуги, centrifuge_serial_number - серийный номер центрифуги, centrifuge_year - год выпуска центрифуги, degasser_model - модель дециртюляторной установки, degasser_serial_number - серийный номер дециртюляторной установки, degasser_year - год выпуска дециртюляторной установки, lifting_capacity - грузоподъемность, manufacture_year - год выпуска бурочной установки, manufacturer - производитель бурочной установки, pump_group_type - тип насосного узла, pump_serial_number - серийный номер насосного узла, pump_year - год выпуска насосного узла, pvo_element - элемент ПВО, pvo_model - модель ПВО, pvo_serial_number - серийный номер ПВО, pvo_service_life - ресурс службы ПВО, pvo_year - год выпуска ПВО, rig_type - тип бурочной установки, separator_model - модель сепаратора, separator_serial_number - серийный номер сепаратора, separator_year - год выпуска сепаратора, serial_number - серийный номер бурочной установки, service_life - ресурс службы бурочной установки, version - версия бурочной установки, vibrasit_model - модель вибросита, vibrasit_serial_number - серийный номер вибросита, vibrasit_year - год выпуска вибросита, volumebde - объём недр, volumebu - объём буренного пространства, vsp_model - модель ВПУ, vsp_serial_number - серийный номер ВПУ, vsp_year - год выпуска ВПУ, power_type - тип привода.","drilling_rig: ['id', 'well_id', 'centrifuge_model', 'centrifuge_serial_number', 'centrifuge_year', 'degasser_model', 'degasser_serial_number', 'degasser_year', 'lifting_capacity', 'manufacture_year', 'manufacturer', 'pump_group_type', 'pump_serial_number', 'pump_year', 'pvo_element', 'pvo_model', 'pvo_serial_number', 'pvo_service_life', 'pvo_year', 'rig_type', 'separator_model', 'separator_serial_number', 'separator_year', 'serial_number', 'service_life', 'version', 'vibrasit_model', 'vibrasit_serial_number', 'vibrasit_year', 'volumebde', 'volumebu', 'vsp_model', 'vsp_serial_number', 'vsp_year', 'power_type']"
29,"Таблица drilling_rig_time_normative_template содержит информацию о нормативах времени бурения в шахтах. Таблица имеет поля:  Поле id — уникальный идентификатор норматива времени, title - наименование норматива времени, type - тип норматива времени, drilling_rig_id - идентификатор буровой установки, version - версия норматива времени.","drilling_rig_time_normative_template: ['id', 'title', 'type', 'drilling_rig_id', 'version']"
30,"Таблица drilling_rig_time_normative_template_element содержит информацию о вспомогательных компонентах шаблона нормативного времени бурения опорной конструкции. Таблица имеет поля:  Поле id - уникальный номер записи,  subsystem - системная подсистема,  maintenance_type - тип обслуживания,  maintenance_description - описание обслуживания,  unit - размер единицы измерения,  frequency - частота выполнения обслуживания,  work_duration - продолжительность выполнения обслуживания,  is_ppr_added - флаг добавления ППР,  template_id - идентификатор шаблона,  version - версия шаблона.","drilling_rig_time_normative_template_element: ['id', 'subsystem', 'maintenance_type', 'maintenance_description', 'unit', 'frequency', 'work_duration', 'is_ppr_added', 'template_id', 'version']"
31,"Таблица drilling_waste содержит информацию о отходах бурения скважин. Таблица имеет поля: id, well_id - идентификатор скважины, casing_column - колонна обводнения, date - дата, fact_bsh - фактическое количество грязи, fact_jfob - фактическая доля грязи, plan_bsh - планируемое количество грязи, plan_bsv - планируемый объем грязи, plan_buffer - плановый запас, plan_cr_remains - остаток запаса, plan_mixing_zone - зона перемешивания, plan_obr - плановый объем отходов, ttn_waste_transfer - перечисление отходов, version - версия, plan_jfob - планируемая доля грязи, plan_tfob - планируемый объем грязи.","drilling_waste: ['id', 'well_id', 'casing_column', 'date', 'fact_bsh', 'fact_jfob', 'plan_bsh', 'plan_bsv', 'plan_buffer', 'plan_cr_remains', 'plan_mixing_zone', 'plan_obr', 'ttn_waste_transfer', 'version', 'plan_jfob', 'plan_tfob']"
32,"Таблица drilling_rig_time_normative содержит информацию о нормативных временах бурильной технологии. Таблица имеет поля:  Поле id - уникальный идентификатор записи, subsystem - подраздел технологии, maintenance_type - тип произведенных работ, maintenance_description - описание выполняемых работ, unit - единица измерения, frequency - частота выполнения, work_duration - продолжительность выполнения, is_ppr_added - флаг добавления планово проходных работ, drilling_rig_equipment_id - идентификатор оборудования бурильной установки, version - версия информации, is_not_been_monitored - флаг отсутствия мониторинга.","drilling_rig_time_normative: ['id', 'subsystem', 'maintenance_type', 'maintenance_description', 'unit', 'frequency', 'work_duration', 'is_ppr_added', 'drilling_rig_equipment_id', 'version', 'is_not_been_monitored']"
33,"Таблица env_group содержит информацию о группах окружаещих условий. Таблица имеет поля: Поле id - уникальный код группы, well_id - связь с таблицей скважин, version - версия группы, name - название группы, is_actual - актуальность группы.","env_group: ['id', 'well_id', 'version', 'name', 'is_actual']"
34,"Таблица duration_development содержит информацию о продолжительности бурения. Таблица имеет поля: id, version, project_id, operation_type, work_name, duration.","duration_development: ['id', 'version', 'project_id', 'operation_type', 'work_name', 'duration']"
35,"Таблица drilling_rig_v2 содержит информацию о буровых установках. Таблица имеет поля: Поле id - идентификатор буровой установки, version - версия данных, rig_name - наименование буровой установки, drilling_company - название компании, которая эксплуатирует бурение на этой установке, rig_type - тип буровой установки, rig_model - марка буровой установки, rig_year - год выпуска буровой установки, rig_lifting_capacity - грузоподъемность буровой установки, well_id - идентификатор скважины на которой работают, fuel_type - тип используемого топлива, fuel_consumption - расход топлива, rig_purpose - назначение буровой установки, manufacturer - производитель буровой установки, last_expertise - дата последней экспертизы, next_expertise - дата следующей экспертизы.","drilling_rig_v2: ['id', 'version', 'rig_name', 'drilling_company', 'rig_type', 'rig_model', 'rig_year', 'rig_lifting_capacity', 'well_id', 'fuel_type', 'fuel_consumption', 'rig_purpose', 'manufacturer', 'last_expertise', 'next_expertise']"
36,"Таблица equipment_catching содержит информацию о оборудовании для добычи recursos. Таблица имеет поля:  id - идентификатор записи,  well_id - идентификатор скважины,  actual_equipment_availability - наличие оборудования в настоящее время,  basket_location - местоположение корзины,  comment - комментарии к оборудованию,  connecting_thread - thread для подключения,  contractor_representative - представитель подрядчика,  count_connecting_thread - количество thread для подключения,  date_defectoscopy - дата замерки equipment,  head_number - номер головки,  manufacturer - производитель equipment,  name - наименование equipment,  number - номер equipment,  sub_for_working_thread - thread для работы,  sub_marking - маркировка скважины,  sub_serial_number - исходное серийное число скважины,  version - версия equipment,  outer_diameter - внешний диаметр equipment.","equipment_catching: ['id', 'well_id', 'actual_equipment_availability', 'basket_location', 'comment', 'connecting_thread', 'contractor_representative', 'count_connecting_thread', 'date_defectoscopy', 'head_number', 'manufacturer', 'name', 'number', 'sub_for_working_thread', 'sub_marking', 'sub_serial_number', 'version', 'outer_diameter']"
